order_id,order_ts,store_id,product_id,quantity,unit_price,discount_pct,status
O00001,2026-07-10 10:43:43,S001,P004,1,4800,0,CANCELLED
O00002,2026-07-06 11:59:10,S001,P007,1,3000,0,COMPLETED
O00003,2026-07-11 13:25:18,S001,P002,1,5000,0,COMPLETED
O00004,2026-07-14 21:16:13,S003,P006,1,7500,0,COMPLETED
O00005,2026-07-09 21:55:48,S001,P008,1,4200,0,COMPLETED
O00006,2026-07-13 08:05:25,S002,P003,1,5500,0,COMPLETED
O00007,2026-07-12 19:49:11,S003,P001,1,4500,0,completed
O00008,2026-07-04 11:26:52,S001,P007,1,3000,0,COMPLETED
O00009,2026-07-07 13:16:49,S001,P006,1,7500,0,COMPLETED
O00010,2026-07-01 17:08:48,S003,P004,1,4800,0,COMPLETED
O00011,2026-07-03 16:43:04,S002,P002,1,5000,0,CANCELLED
O00012,2026-07-08 21:56:33,S002,P007,2,3000,0,COMPLETED
O00013,2026-07-09 20:25:25,S003,P001,1,4500,0,COMPLETED
O00014,2026-07-02 07:01:16,S002,P001,1,4500,0,COMPLETED
O00015,2026-07-07 13:38:13,S003,P003,1,5500,0,COMPLETED
O00016,2026-07-12 18:17:38,S001,P003,3,5500,0,COMPLETED
O00017,2026-07-05 08:00:32,S001,P006,1,7500,0,COMPLETED
O00018,2026-07-08 11:58:06,S002,P001,3,4500,0,COMPLETED
O00019,2026-07-11 09:48:44,S002,P001,1,4500,0,CANCELLED
O00020,2026-07-08 17:52:05,S001,P001,3,4500,0,COMPLETED
O00021,2026-07-09 08:22:58,S003,P003,1,5500,0,COMPLETED
O00022,2026-07-03 21:03:01,S001,P003,1,5500,0,COMPLETED
O00023,2026-07-02 08:35:56,S002,P008,1,4200,0,COMPLETED
O00024,2026-07-07 17:08:24,S002,P003,1,5500,20,COMPLETED
O00025,2026-07-03 14:12:54,S001,P003,1,5500,10,COMPLETED
O00026,2026-07-01 10:25:54,S002,P007,1,3000,0,COMPLETED
O00027,2026-07-10 13:33:05,S001,P003,1,5500,0,CANCELLED
O00028,2026-07-13 16:49:09,S001,P002,1,5000,0,COMPLETED
O00029,2026-07-10 11:17:22,S001,P007,1,3000,0,COMPLETED
O00030,2026-07-13 18:38:53,S003,P007,1,3000,0,COMPLETED
O00031,2026-07-12 13:17:03,S002,P002,2,5000,0,COMPLETED
O00032,2026-07-02 07:05:58,S001,P002,1,5000,0,Completed
O00033,2026-07-03 20:04:37,S001,P005,2,5500,0,COMPLETED
O00034,2026-07-02 18:52:27,S002,P002,1,5000,0,COMPLETED
O00035,2026-07-06 11:48:00,S002,P003,1,5500,,COMPLETED
O00036,2026-07-08 07:49:51,S002,P002,1,5000,0,COMPLETED
O00037,2026-07-12 17:22:38,S003,P001,2,4500,0,COMPLETED
O00038,2026-07-12 12:15:52,S002,P008,1,4200,0,COMPLETED
O00039,2026-07-03 16:54:21,S003,P001,1,4500,0,CANCELLED
O00040,2026-07-14 11:17:03,S003,P001,1,4500,20,COMPLETED
O00041,2026-07-14 20:46:24,S003,P001,1,4500,0,COMPLETED
O00042,2026-07-03 15:23:43,S002,P002,1,5000,0,COMPLETED
O00043,2026-07-11 19:35:12,S001,P006,1,7500,0,COMPLETED
O00044,2026-07-08 21:04:52,S001,P002,1,5000,0,COMPLETED
O00045,2026-07-06 13:28:03,S002,P007,1,3000,10,COMPLETED
O00046,2026-07-04 16:34:51,S001,P001,1,4500,20,COMPLETED
O00047,2026-07-10 19:14:12,S003,P006,2,7500,0,COMPLETED
O00048,2026-07-14 14:36:03,S002,P002,1,5000,0,COMPLETED
O00049,2026-07-07 21:24:18,S001,P008,2,4200,0,COMPLETED
O00050,2026-07-02 20:05:09,S002,P002,1,5000,0,COMPLETED
O00051,2026-07-03 14:06:19,S002,P001,2,4500,0,COMPLETED
O00052,2026-07-03 11:01:02,S002,P003,1,5500,10,COMPLETED
O00053,2026-07-02 19:46:44,S001,P007,1,3000,10,COMPLETED
O00054,2026-07-11 13:09:51,S003,P002,2,5000,10,CANCELLED
O00055,2026-07-11 18:35:13,S002,P001,1,4500,0,COMPLETED
O00056,2026-07-09 21:43:29,S002,P006,2,7500,0,COMPLETED
O00057,2026-07-10 11:37:02,S002,P001,1,4500,0,CANCELLED
O00058,2026-07-05 21:30:59,S002,P001,0,4500,0,COMPLETED
O00059,2026-07-09 17:03:29,S001,P006,1,7500,0,COMPLETED
O00060,2026-07-04 15:38:41,S001,P002,1,5000,0,COMPLETED
O00061,2026-07-14 19:41:33,S003,P007,2,3000,0,COMPLETED
O00062,2026-07-02 10:00:06,S002,P007,1,3000,0,COMPLETED
O00063,2026-07-08 21:43:11,S001,P002,1,5000,0,CANCELLED
O00064,2026-07-09 15:45:04,S001,P005,1,5500,0,COMPLETED
O00065,2026-07-08 19:49:38,S003,P002,2,5000,0,COMPLETED
O00066,2026-07-14 14:07:24,S002,P007,1,3000,0,COMPLETED
O00067,2026-07-09 18:42:01,S003,P002,1,5000,0,COMPLETED
O00068,2026-07-10 19:06:19,S002,P002,1,5000,10,COMPLETED
O00069,2026-07-11 11:35:30,S003,P008,1,4200,10,COMPLETED
O00070,2026-07-10 08:41:45,S001,P001,1,4500,0,CANCELLED
O00071,2026-07-06 09:38:29,S001,P001,1,4500,0,COMPLETED
O00072,2026-07-11 09:04:01,S002,P006,1,7500,0,COMPLETED
O00073,2026-07-05 09:02:05,S001,P007,2,3000,0,COMPLETED
O00074,2026-07-03 15:22:28,S003,P001,1,4500,30,COMPLETED
O00075,2026-07-13 18:14:49,S001,P002,1,5000,0,COMPLETED
O00076,2026-07-12 09:33:00,S003,P003,1,5500,0,COMPLETED
O00077,2026-07-11 09:34:12,S001,P004,1,4800,0,COMPLETED
O00078,2026-07-04 14:15:20,S003,P007,1,3000,,COMPLETED
O00079,2026-07-08 07:02:25,S001,P004,1,4800,0,COMPLETED
O00080,2026-07-08 10:38:25,S002,P002,1,5000,0,COMPLETED
O00081,2026-07-07 18:31:24,S002,P003,1,5500,0,CANCELLED
O00082,2026-07-01 14:36:23,S001,P004,1,4800,0,COMPLETED
O00083,2026-07-03 10:28:52,S003,P001,1,4500,0,COMPLETED
O00084,2026-07-10 14:49:46,S002,P001,1,4500,0,COMPLETED
O00085,2026-07-12 19:37:44,S003,P006,1,7500,10,COMPLETED
O00086,2026-07-11 18:20:29,S002,P005,1,5500,0,COMPLETED
O00087,2026-07-11 13:42:17,S002,P005,1,5500,0,COMPLETED
O00088,2026-07-04 12:36:25,S002,P001,1,4500,0,COMPLETED
O00089,2026-07-13 11:02:41,S001,P003,1,5500,0,COMPLETED
O00090,2026-07-04 14:18:15,S002,P008,1,4200,20,COMPLETED
O00091,2026-07-14 19:16:58,S002,P006,1,7500,10,COMPLETED
O00092,2026-07-03 21:08:21,S001,P001,2,4500,0,COMPLETED
O00093,2026-07-04 07:51:51,S001,P004,1,4800,0,completed
O00094,2026-07-01 17:28:43,S002,P006,3,7500,0,COMPLETED
O00095,2026-07-05 09:24:31,S001,P001,2,4500,0,COMPLETED
O00096,2026-07-04 08:08:45,S002,P002,2,5000,0,COMPLETED
O00097,2026-07-09 08:44:28,S003,P005,1,5500,0,COMPLETED
O00098,2026-07-09 14:30:17,S002,P004,1,4800,0,CANCELLED
O00099,2026-07-01 17:15:52,S003,P003,1,5500,0,COMPLETED
O00100,2026-07-09 16:35:35,S001,P005,1,5500,0,COMPLETED
