order_id,order_ts,store_id,product_id,quantity,unit_price,discount_pct,status
O00101,2026-07-07 12:43:38,S003,P001,2,4500,0,COMPLETED
O00102,2026-07-12 11:53:42,S001,P002,1,5000,0,COMPLETED
O00103,2026-07-11 13:42:05,S003,P001,1,4500,0,COMPLETED
O00104,2026-07-08 07:16:28,S003,P007,3,3000,20,CANCELLED
O00105,2026-07-05 07:16:31,S002,P005,2,5500,30,COMPLETED
O00106,2026-07-10 15:59:35,S002,P008,2,4200,0,CANCELLED
O00107,2026-07-06 19:12:24,S002,P004,2,4800,0,COMPLETED
O00108,2026-07-09 21:55:38,S001,P001,1,4500,0,COMPLETED
O00109,2026-07-13 15:02:41,S001,P001,1,4500,0,COMPLETED
O00110,2026-07-02 07:46:31,S001,P002,1,5000,0,COMPLETED
O00111,2026-07-05 11:00:08,S001,P001,1,4500,0,COMPLETED
O00112,2026-07-11 12:34:24,S003,P001,2,4500,0,COMPLETED
O00113,2026-07-12 14:01:42,S002,P005,1,5500,0,COMPLETED
O00114,2026-07-13 14:21:26,S001,P001,2,4500,0,COMPLETED
O00115,2026-07-10 18:55:16,S002,P005,1,5500,0,COMPLETED
O00116,2026-07-14 08:59:59,S002,P006,2,7500,0,COMPLETED
O00117,2026-07-12 14:24:13,S003,P008,2,4200,0,COMPLETED
O00118,2026-07-11 17:43:25,S001,P001,1,4500,0,COMPLETED
O00119,2026-07-05 18:53:04,S001,P001,1,4500,0,CANCELLED
O00120,2026-07-09 14:55:05,S003,P007,2,3000,0,COMPLETED
O00121,2026-07-02 11:28:48,S003,P006,3,7500,0,COMPLETED
O00122,2026-07-02 13:19:14,S002,P002,1,5000,,COMPLETED
O00123,2026-07-12 13:28:49,S003,P001,1,4500,0,COMPLETED
O00124,2026-07-08 10:15:57,S001,P002,2,5000,0,COMPLETED
O00125,2026-07-04 09:09:05,S002,P008,1,4200,0,COMPLETED
O00126,2026-07-04 11:51:55,S003,P001,1,4500,0,COMPLETED
O00127,2026-07-08 11:20:55,S003,P001,1,4500,20,COMPLETED
O00128,2026-07-08 08:10:51,S001,P005,1,5500,0,COMPLETED
O00129,2026-07-06 10:28:29,S001,P001,1,4500,0,COMPLETED
O00130,2026-07-08 09:41:55,S002,P005,2,5500,0,CANCELLED
O00131,2026-07-09 10:08:44,S002,P003,2,5500,30,COMPLETED
O00132,2026-07-05 12:03:28,S002,P003,1,5500,0,Completed
O00133,2026-07-01 11:08:36,S001,P004,2,4800,0,COMPLETED
O00134,2026-07-10 20:54:42,S003,P001,1,4500,0,COMPLETED
O00135,2026-07-14 18:53:13,S001,P003,2,5500,0,COMPLETED
O00136,2026-07-12 14:20:39,S001,P003,1,5500,0,COMPLETED
O00137,2026-07-10 16:09:15,S001,P006,1,7500,0,COMPLETED
O00138,2026-07-05 14:33:17,S002,P001,1,4500,0,COMPLETED
O00139,2026-07-01 18:44:27,S001,P001,1,4500,0,COMPLETED
O00140,2026-07-14 19:39:12,S001,P007,1,3000,0,COMPLETED
O00141,2026-07-01 20:11:55,S002,P001,2,4500,0,COMPLETED
O00142,2026-07-05 16:16:42,S002,P002,1,5000,0,COMPLETED
O00143,2026-07-12 07:17:06,S003,P007,1,3000,20,COMPLETED
O00144,2026-07-12 10:24:07,S002,P001,1,4500,0,COMPLETED
O00145,2026-07-14 19:24:33,S003,P007,1,3000,0,CANCELLED
O00146,2026-07-04 11:54:14,S001,P007,2,3000,0,CANCELLED
O00147,2026-07-04 10:23:58,S002,P001,2,4500,0,COMPLETED
O00148,2026-07-09 09:39:26,S003,P004,1,4800,0,COMPLETED
O00149,2026-07-06 18:43:15,S001,P004,1,4800,0,COMPLETED
O00150,2026-07-01 11:13:27,S001,P001,1,4500,0,COMPLETED
O00151,2026-07-07 13:53:08,S002,P008,1,4200,0,COMPLETED
O00152,2026-07-12 08:30:02,S002,P008,2,4200,0,COMPLETED
O00153,2026-07-14 07:20:50,S003,P001,1,4500,0,COMPLETED
O00154,2026-07-03 15:08:52,S001,P004,1,4800,0,COMPLETED
O00155,2026-07-07 19:47:55,S002,P006,1,7500,0,COMPLETED
